tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
CRISIL,2024-10-28,4973.6,4588.39,2.0,8.4,2025-01-06,5973.94,2025-01-20,5501.4,trail,12,1.685,101715.94,1462.84
HEG,2024-12-09,562.99,434.8,2.0,29.48,,,2025-01-20,432.46,stop,6,-1.018,-54403.69,409.26
CUB,2024-10-28,128.32,111.6,2.0,14.98,,,2025-01-27,124.01,time,13,-0.258,-14990.52,794.04
EICHERMOT,2024-11-18,4817.48,4477.99,2.0,7.58,,,2025-02-17,4639.84,time,13,-0.523,-29783.34,1446.91
PTCIL,2024-12-31,13487.0,11349.1,2.0,18.84,,,2025-02-24,10400.0,stop,8,-1.444,-77356.06,582.79
ALIVUS,2025-01-20,1078.61,962.93,2.0,12.01,,,2025-03-03,879.32,stop,6,-1.723,-94485.5,892.75
AFFLE,2025-02-24,1536.0,1440.35,2.0,6.64,,,2025-03-03,1402.15,stop,1,-1.399,-68913.42,1455.22
ZENSARTECH,2025-01-27,816.08,705.3,2.0,15.71,,,2025-03-17,644.28,stop,7,-1.551,-83773.54,701.4
ASTRAZEN,2025-01-06,7208.36,6291.25,2.0,14.58,,,2025-04-07,7325.96,time,13,0.128,3977.0,866.25
BLUESTARCO,2025-03-03,1928.14,1842.75,2.0,4.63,2025-03-24,2171.02,2025-04-07,1648.13,trail,5,-0.64,-12983.93,1956.46
GODFRYPHLP,2025-02-17,1928.62,1594.18,2.0,20.98,2025-04-28,2636.44,2025-05-19,2864.25,time,13,2.399,120214.66,691.6
ALIVUS,2025-05-05,1092.19,1018.38,2.0,7.25,,,2025-06-09,1004.65,stop,5,-1.186,-64258.1,1389.49
AAVAS,2025-03-17,1876.7,1680.0,2.0,11.71,,,2025-06-16,1850.9,time,13,-0.131,-7473.57,856.93
AFFLE,2025-03-24,1540.0,1408.0,2.0,9.38,2025-06-16,1926.5,2025-06-23,1885.0,time,13,2.307,129950.68,1266.02
BDL,2025-04-08,1283.91,1217.37,2.0,5.47,2025-05-05,1494.07,2025-07-07,1964.21,time,13,6.112,291103.98,1994.29
CDSL,2025-06-09,1771.56,1518.72,2.0,16.65,,,2025-08-04,1468.03,stop,8,-1.2,-64865.95,679.28
CAPLIPOINT,2025-06-16,2122.94,2008.32,2.0,5.71,,,2025-08-04,1981.41,stop,7,-1.235,-71831.61,1891.16
ECLERX,2025-05-19,1642.34,1242.69,2.0,32.16,,,2025-08-18,2041.99,time,13,1.0,50935.7,485.23
HINDPETRO,2025-06-30,424.34,369.9,2.0,14.72,,,2025-09-29,417.95,time,13,-0.117,-7610.75,810.28
ASAHIINDIA,2025-07-07,842.0,733.26,2.0,14.83,,,2025-10-06,903.7,time,13,0.567,28155.86,839.36
FSL,2025-08-11,358.48,323.93,2.0,10.66,,,2025-10-06,315.66,stop,8,-1.239,-65781.6,981.64
AFFLE,2025-08-04,1944.6,1773.0,2.0,9.68,,,2025-11-03,1950.0,time,13,0.031,-2409.69,1140.16
KAYNES,2025-08-04,6375.0,5405.0,2.0,17.95,,,2025-11-03,6709.0,time,13,0.344,16078.27,677.63
BDL,2025-10-06,1562.84,1456.61,2.0,7.29,,,2025-11-10,1444.86,stop,5,-1.111,-59257.44,1444.38
REDINGTON,2025-09-22,299.5,241.0,2.0,24.27,,,2025-12-22,274.0,time,13,-0.436,-24350.39,526.34
BSE,2025-10-13,2375.0,2102.0,2.0,12.99,,,2026-01-12,2700.0,time,13,1.19,58921.45,946.69
GLENMARK,2025-11-03,1889.1,1792.6,2.0,5.38,,,2026-02-02,1935.1,time,13,0.477,20240.89,1978.84
ABSLAMC,2026-01-19,825.0,770.05,2.0,7.14,,,2026-02-02,759.7,stop,2,-1.188,-65460.29,1464.22
BRITANNIA,2025-11-10,6190.0,5775.0,2.0,7.19,,,2026-02-09,5900.5,time,13,-0.698,-37366.99,1451.46
ASAHIINDIA,2026-02-02,994.6,911.5,2.0,9.12,,,2026-03-02,865.0,stop,4,-1.56,-82305.72,1109.36
REDINGTON,2026-03-02,267.9,238.3,2.0,12.42,,,2026-03-16,240.75,stop,2,-0.917,-47696.18,864.43
3MINDIA,2026-02-02,34490.0,32750.0,2.0,5.31,,,2026-03-23,31960.0,stop,7,-1.454,-80600.84,1893.21
ABSLAMC,2026-02-09,815.0,749.0,2.0,8.81,2026-04-13,985.0,2026-05-11,1067.0,time,13,2.909,151296.68,1361.66
ACMESOLAR,2026-03-16,255.45,216.34,2.0,18.08,2026-06-08,353.0,2026-06-15,339.9,time,13,2.08,106112.61,718.49
J&KBANK,2026-03-17,124.2,108.7,2.0,14.26,2026-06-15,160.56,2026-06-22,164.95,time,14,2.315,115075.72,868.11
APARINDS,2026-03-23,9645.0,8856.0,2.0,8.91,2026-04-13,11072.0,2026-06-22,16361.0,time,13,5.256,235294.28,1364.16
WAAREEENER,2026-03-23,3108.8,2681.2,2.0,15.95,,,2026-06-22,3145.0,time,13,0.085,2687.54,673.83
ABCAPITAL,2026-04-13,330.1,295.2,2.0,11.82,,,2026-06-29,385.3,eos,12,1.582,76806.6,1019.2
GALLANTT,2026-04-15,689.5,550.0,2.0,25.36,,,2026-06-29,685.6,eos,12,-0.028,-2289.8,493.9
NEULANDLAB,2026-05-12,17501.0,15100.0,2.0,15.9,,,2026-06-29,18088.0,eos,8,0.244,11769.82,801.0
CUB,2026-06-15,205.7,179.25,2.0,14.76,,,2026-06-29,201.5,eos,3,-0.159,-10420.01,860.14
ANURAS,2026-06-22,1279.4,1211.0,2.0,5.65,,,2026-06-29,1274.6,eos,2,-0.07,-11569.66,2150.73
