tkr,entry_date,entry,stop0,rank,half_date,half_px,exit_date,exit_px,reason,held_weeks,R
GODREJIND,2025-02-24,1098.0,766.0,0.2192,,,2025-05-26,1178.0,time,13,0.241
AMBER,2025-02-24,5905.05,5235.0,0.1893,,,2025-05-26,6405.5,time,13,0.747
CHOLAHLDNG,2025-03-03,1665.55,1478.98,0.1358,,,2025-06-02,1879.7,time,13,1.148
LLOYDSME,2025-03-10,1153.45,940.88,0.2605,,,2025-06-09,1476.82,time,13,1.521
MAXHEALTH,2025-03-24,1173.3,979.22,0.2057,,,2025-06-23,1200.71,time,13,0.141
CDSL,2025-06-09,1771.56,1518.72,0.1788,,,2025-08-04,1468.03,stop,8,-1.2
NUVAMA,2025-06-30,1643.88,1335.57,0.225,,,2025-08-11,1343.91,stop,6,-0.973
BAJAJHLDNG,2025-05-19,12898.58,11287.0,0.1289,,,2025-08-18,13893.78,time,13,0.618
ECLERX,2025-05-19,1642.34,1242.69,0.0545,,,2025-08-18,2041.99,time,13,1.0
PTCIL,2025-05-26,15423.0,13780.0,0.121,,,2025-08-18,13731.0,stop,12,-1.03
SUZLON,2025-06-02,72.2,62.74,0.1104,,,2025-08-18,61.5,stop,11,-1.131
ABBOTINDIA,2025-08-18,33495.0,31910.0,0.0812,,,2025-08-25,32145.0,stop,1,-0.852
WELCORP,2025-06-02,921.95,751.78,0.1877,,,2025-09-01,834.18,time,13,-0.516
BDL,2025-08-18,1595.67,1451.34,0.0874,,,2025-09-01,1434.31,stop,2,-1.118
BSE,2025-09-08,2329.0,2107.6,0.0756,,,2025-09-29,2055.0,stop,3,-1.238
KAYNES,2025-08-04,6375.0,5405.0,0.1036,,,2025-11-03,6709.0,time,13,0.344
INTELLECT,2025-08-25,965.3,901.1,0.0576,2025-11-03,1128.9,2025-11-24,1094.4,time,13,2.005
ASTRAZEN,2025-09-01,8460.0,7955.0,0.0458,2025-11-03,9555.0,2025-12-01,9040.0,time,13,1.574
WELCORP,2025-11-03,966.79,835.72,0.0859,,,2025-12-08,826.21,stop,5,-1.073
BSE,2025-10-13,2375.0,2102.0,0.0634,,,2026-01-12,2700.0,time,13,1.19
UPL,2025-11-03,720.1,672.7,0.0367,,,2026-02-02,669.25,time,13,-1.073
GLENMARK,2025-12-01,1950.0,1825.1,0.0493,,,2026-03-02,2112.5,time,13,1.301
MRPL,2026-01-22,151.8,133.21,0.0456,2026-03-02,183.87,2026-03-16,178.1,trail,8,1.708
RRKABEL,2026-03-02,1521.17,1426.4,0.1605,,,2026-03-16,1335.73,stop,2,-1.957
TIMKEN,2026-03-16,3475.1,3234.0,0.2101,,,2026-03-23,3140.0,stop,1,-1.39
CHENNPETRO,2026-01-19,851.21,759.48,0.1189,2026-03-23,1055.64,2026-04-20,1044.0,time,13,2.051
GVT&D,2026-02-02,3209.8,2651.0,0.2074,2026-04-27,4640.0,2026-05-04,4500.0,time,13,2.154
SYRMA,2026-02-02,774.8,649.5,0.0763,,,2026-05-04,963.6,time,13,1.507
J&KBANK,2026-03-16,121.14,108.7,0.2547,2026-06-08,145.93,2026-06-15,160.56,time,13,2.584
SAIL,2026-03-23,153.04,143.27,0.2363,2026-04-20,173.4,2026-06-15,185.95,trail,12,2.684
SAMMAANCAP,2026-04-01,155.0,129.0,0.1238,,,2026-06-29,170.0,time,13,0.577
SCI,2026-04-20,307.0,235.2,0.3827,,,2026-06-29,307.3,eos,11,0.004
NETWEB,2026-04-20,3818.0,3233.3,0.2384,2026-06-22,5100.0,2026-06-29,4454.8,eos,11,1.545
RRKABEL,2026-05-04,1605.95,1448.15,0.1977,2026-05-11,1937.42,2026-06-29,2502.3,eos,9,3.84
MOTHERSON,2026-05-11,130.58,118.41,0.2132,,,2026-06-29,150.56,eos,8,1.642
GALLANTT,2026-06-15,660.0,618.5,0.1061,,,2026-06-29,685.6,eos,3,0.617
M&MFIN,2026-06-29,328.55,288.7,0.0303,,,2026-06-29,315.4,eos,0,-0.33
