ticker,entry_week,exit_week,entry,stop0,risk_pct,R,held_weeks,reason,gap_through,half_booked,ext_vs_44w_pct,mansfield,adv20,year,legs
TATACHEM,2024-03-07,2024-05-03,1263.22,896.09,29.06,-0.638,8,stop,False,False,29.72,14.41,5184957044.001813,2024,stop@1032.95x1.00
TATACOMM,2025-10-10,2025-11-28,1853.35,1436.11,22.51,-0.163,7,stop,False,False,15.57,9.08,1762549986.0717347,2025,stop@1791.81x1.00
TATACONSUM,2023-06-16,2023-09-01,843.4,663.99,21.27,-0.198,11,stop,False,False,13.92,6.73,1423117656.2128081,2023,stop@810.90x1.00
TATAINVEST,2020-02-07,2020-03-13,85.23,65.67,22.94,-0.794,5,stop,False,True,15.08,10.51,51156970.554424286,2020,stage3_half@74.82x0.50;stop@65.67x0.50
TATAINVEST,2022-09-02,2022-12-09,159.88,117.54,26.49,1.391,14,stop,False,False,17.54,15.07,68642479.31069183,2022,stop@220.10x1.00
TATAINVEST,2025-09-26,2025-11-21,862.15,568.33,34.08,-0.351,8,stop,False,True,33.11,29.92,4070843837.31131,2025,stage3_half@777.24x0.50;stop@746.40x0.50
TATAMTRDVR,2023-05-12,2024-05-17,262.45,190.0,27.61,4.955,53,stop,False,False,18.48,14.27,774433867.0799999,2023,stop@623.00x1.00
TEAMLEASE,2023-12-22,2024-03-22,2906.0,2180.1,24.98,-0.241,13,stop,False,False,20.36,5.94,222501575.30063477,2023,stop@2751.05x1.00
THERMAX,2019-09-27,2019-10-27,1118.13,894.26,20.02,-0.325,4,stop,False,False,11.04,8.02,96454181.52243653,2019,stop@1053.06x1.00
TORNTPHARM,2020-01-17,2020-03-13,917.68,664.13,27.63,-0.238,8,stop,False,False,16.61,7.97,385582353.5767273,2020,stop@863.46x1.00
TORNTPHARM,2023-06-02,2023-09-01,1719.39,1398.33,18.67,0.401,13,stop,False,False,13.37,8.64,990180317.531073,2023,stop@1854.61x1.00
