ticker,from_date,to_date
PARADEEP,2026-03-05,2030-12-31
PARAGMILK,2016-05-19,2019-10-29
PATANJALI,2022-07-22,2030-12-31
PAYTM,2021-06-14,2030-12-31
PCBL,2021-06-14,2030-12-31
PCJEWELLER,2012-12-27,2019-10-29
PEL,2011-01-01,2022-07-22
PEL,2023-01-05,2025-10-26
PERSISTENT,2011-04-20,2030-12-31
PETRONET,2011-04-20,2030-12-31
PFC,2011-04-20,2030-12-31
PFIZER,2011-04-20,2030-12-31
PFS,2011-06-06,2019-10-29
PGEL,2024-10-21,2030-12-31
PGHH,2011-06-06,2024-10-21
PGHH,2025-10-26,2026-03-05
PGHL,2019-10-29,2023-01-05
PGHL,2023-09-05,2024-10-21
PHILIPCARB,2011-01-01,2021-06-14
PHOENIXLTD,2011-04-20,2030-12-31
PIDILITIND,2011-04-20,2030-12-31
PIIND,2011-06-15,2030-12-31
PINELABS,2026-03-05,2030-12-31
PIRAMALFIN,2026-03-05,2030-12-31
PNB,2011-04-20,2030-12-31
PNBHOUSING,2016-11-07,2030-12-31
PNCINFRA,2015-05-26,2025-10-26
POLICYBZR,2021-06-14,2030-12-31
POLYCAB,2019-10-29,2030-12-31
POLYMED,2019-10-29,2030-12-31
POLYPLEX,2021-06-14,2024-10-21
POONAWALLA,2011-04-20,2019-10-29
POONAWALLA,2021-06-14,2030-12-31
POWERGRID,2011-04-20,2030-12-31
POWERINDIA,2021-06-14,2030-12-31
PPLPHARMA,2023-01-05,2030-12-31
PRAJIND,2011-04-20,2026-03-05
PREMIERENE,2024-10-21,2030-12-31
PRESTIGE,2011-04-20,2030-12-31
PRINCEPIPE,2021-06-14,2024-10-21
PRIVISCL,2021-06-14,2023-01-05
PRSMJOHNSN,2011-06-06,2024-10-21
PTC,2011-06-06,2021-06-14
PTCIL,2024-10-21,2030-12-31
PVR,2011-01-01,2023-09-05
PVRINOX,2023-09-05,2030-12-31
PWL,2026-03-05,2030-12-31
QUESS,2016-07-12,2024-10-21
RADICO,2011-04-20,2030-12-31
RAILTEL,2021-06-14,2022-07-22
RAILTEL,2024-10-21,2030-12-31
RAIN,2011-06-06,2024-10-21
RAINBOW,2023-01-05,2030-12-31
RAJESHEXPO,2011-06-06,2024-10-21
RALLIS,2011-06-06,2024-10-21
RAMCOCEM,2011-04-20,2030-12-31
RATNAMANI,2019-10-29,2024-10-21
RAYMOND,2011-04-20,2021-06-14
RAYMOND,2022-07-22,2025-10-26
RAYMONDLSL,2024-10-21,2025-10-26
RBA,2021-06-14,2024-10-21
