UCO Bank (XNSE:UCOBANK),UCOBANK,UCOBANK.NS,,,,,,,,,,,,
DEEPAK NITRITE LIMITED (XNSE:DEEPAKNTR),DEEPAKNTR,DEEPAKNTR.NS,,,,,,,,,,,,
ADANI ENERGY SOLUTIONS LIMITED (XNSE:ADANIENSOL),ADANIENSOL,ADANIENSOL.NS,,,,,,,,,,,,
SAI LIFE SCIENCES LIMITED (XNSE:SAILIFE),SAILIFE,SAILIFE.NS,,,,,,,,,,,,
TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED (XNSE:TARIL),TARIL,TARIL.NS,,,,,,,,,,,,
BHARAT FORGE LTD (XNSE:BHARATFORG),BHARATFORG,BHARATFORG.NS,,,,,,,,,,,,
BAJAJ HOUSING FINANCE LIMITED (XNSE:BAJAJHFL),BAJAJHFL,BAJAJHFL.NS,,,,,,,,,,,,
JUPITER WAGONS LIMITED (XNSE:JWL),JWL,JWL.NS,,,,,,,,,,,,
MULTI COMMODITY EXCHANGE OF INDIA LIMITED (XNSE:MCX),MCX,MCX.NS,,,,,,,,,,,,
ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LIMITED (XNSE:ZFCVINDIA),ZFCVINDIA,ZFCVINDIA.NS,,,,,,,,,,,,
SRF LIMITED (XNSE:SRF),SRF,SRF.NS,,,,,,,,,,,,
COMPUTER AGE MANAGEMENT SERVICES LIMITED (XNSE:CAMS),CAMS,CAMS.NS,,,,,,,,,,,,
RAMKRISHNA FORGINGS LTD (XNSE:RKFORGE),RKFORGE,RKFORGE.NS,,,,,,,,,,,,
STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED (XNSE:STARHEALTH),STARHEALTH,STARHEALTH.NS,,,,,,,,,,,,
UNITED BREWERIES LIMITED (XNSE:UBL),UBL,UBL.NS,,,,,,,,,,,,
THE NEW INDIA ASSURANCE COMPANY LIMITED (XNSE:NIACL),NIACL,NIACL.NS,,,,,,,,,,,,
KANSAI NEROLAC PAINTS LIMITED (XNSE:KANSAINER),KANSAINER,KANSAINER.NS,,,,,,,,,,,,
TATA CONSUMER PRODUCTS LIMITED (XNSE:TATACONSUM),TATACONSUM,TATACONSUM.NS,,,,,,,,,,,,
